"Book Id","ISBN","Bookshelf","Tags","Wishlist","Started Reading On","Ended Reading On","Pages Read","Read","My Rating","Review","Short note","Advanced note","Signed","Condition","Number of copies","Quotes","Flashcards","Title","Subtitle","Language","Categories","Authors","Illustrators","Translators","Editors","Narrators","Photographers","Publisher","Page Count","Published At","Format","Edition","Series","Volume","Loan Type","Loan Name","Loan Start Date","Loan Due Date","Purchase Type","Purchase From","Purchase Price","Purchase Date","Transfer Type","Transfer place","Transfer Price","Transfer Date","Description","Date added"
"10520700","9782764605073","Nicolas","Essai,Politique,Identité,Canadien-Français",0,,,414,1,,,,,0,,1,"","","""Sorry, I don't speak French""","ou pourquoi quarante ans de politiques linguistiques au Canada n'ont rien réglé...ou presque","fr","Bilingualism","Graham Fraser","","","","","","Boréal",414,"2007-01-01","paperback",,,,,,,,,,,,,,,,,"2024-01-20"
"168741","9780486462783","Nicolas","Académique",0,,,590,1,,,,,0,,1,"","","Adaptive Control",,"en","Automatic Control Engineering","Karl Johan Åström,Björn Wittenmark","","","","","","Dover Publications",590,"2008-12-18","paperback",,,,,,,,,,,,,,,,"Suitable for advanced undergraduates and graduate students, this text introduces theoretical and practical aspects of adaptive control. It offers an excellent perspective on techniques as well as an active knowledge of key approaches. Readers will acquire a well-developed sense of when to use adaptive techniques and when other methods are more appropriate.
Starting with a broad overview, the text explores real-time estimation, self-tuning regulators and model-reference adaptive systems, stochastic adaptive control, and automatic tuning of regulators. Additional topics include gain scheduling, robust high-gain control and self-oscillating controllers, and suggestions for implementing adaptive controllers. Concluding chapters feature a summary of applications and a brief review of additional areas closely related to adaptive control.
Both authors are Professors at the Lund Institute of Technology in Sweden, and this text has evolved from their many years of research and teaching. Their insights into properties, design procedures, and implementation of adaptive controllers are complemented by the numerous examples, simulations, and problems that appear throughout the book.","2024-01-20"
"652313","9781934356166","Nicolas","Académique",0,,,0,0,,,,,0,,1,"","","Agile Web Development with Rails",,"en","Business Applications,Web Graphics & Design,Web Programming","Sam Ruby,Dave Thomas,David Heinemeier Hansson","","","","","","Pragmatic Bookshelf",784,"2009-04-04","paperback",,,,,,,,,,,,,,,,"You want to write professional-grade applications: Rails is a full-stack, open-source web framework, with integrated support for unit, functional, and integration testing. It enforces good design principles, consistency of code across your team (and across your organization), and proper release management.

But Rails is more than a set of best practices. Rails makes it both fun and easy to turn out very cool web applications. Need Ajax support, so your web applications are highly interactive? Rails has it built in. Want an application that sends and receives e-mail? Built in. Supports internationalization and localization? Built in. Do you need applications with a REST-based interface (so they can interact with other RESTful applications with almost no effort on your part)? All built-in.

With this book, you'll learn how to use ActiveRecord to connect business objects and database tables. No more painful object-relational mapping. Just create your business objects and let Rails do the rest. Need to create and modify your schema? Migrations make it painless (and they're versioned, so you can roll changes backward and forward). You'll learn how to use the Action Pack framework to route incoming requests and render pages using easy-to-write templates and components. See how to exploit the Rails service frameworks to send emails, implement web services, and create dynamic, user-centric web-pages using built-in Javascript and Ajax support. There is extensive coverage of testing...","2024-01-20"
"3841789","9782804144081","Nicolas","Académique",0,,,576,1,,,,,0,,1,"","","Algèbre linéaire. théorie exercices et applications","Théorie, exercices & applications","fr","Linear Algebras,Algèbre linéaire,Manuels d'enseignement supérieur","David-C Lay","","","","","","De Boeck Supérieur",576,"2004-03-25",,,,,,,,,,,,,,,,,"Cet ouvrage trace un véritable itinéraire minutieusement balisé au travers des systèmes d'équations linéaires, des matrices, des transformations linéaires, des espaces vectoriels, des valeurs et vecteurs propres jusqu'à l'orthogonalité, les moindres carrés et les formes quadratiques. Tout au long du parcours sont traités de front et naturellement imbriqués la théorie, les exercices, les aspects numériques et les applications. Ces dernières concernent des domaines aussi variés que l'économie, la démographie, l'écologie et les sciences de l'ingénieur. Plus de 1700 exercices jalonnent ce cours, dont environ 150 spécialement conçus pour prévenir les erreurs les plus fréquentes du débutant. Un glossaire rappelle le sens de plus de 300 termes propres à cette branche des mathématiques ou à ses applications et précède un index très complet de plus de 1500 mots clés.","2024-01-20"
"11929251","9782804150303","Nicolas","Académique",0,,,784,1,,,,,0,,1,"","","ANALYSE 1: CONCEPTS ET CONTEXTES - FONCTIONS D'UNE VARIABLE","concepts et contextes. Fonctions d'une variable","fr","","James Stewart","","","","","","De Boeck Supérieur",784,"2006-01-01","paperback",,,,,,,,,,,,,,,,"La compréhension profonde des concepts, tel est l'objectif majeur de ce manuel. En conséquence, chaque concept est patiemment introduit et formulé verbalement, visuellement, numériquement et algébriquement avant que n'apparaisse sa définition formelle. Des exemples bien choisis préparent souvent l'énoncé des théorèmes pour justifier la pertinence de leurs hypothèses. L'apprentissage au raisonnement est soutenu par les démonstrations (parfois reportées en annexe pour ne pas perdre le fil du discours). L'apprenant, devenu maître des concepts autant que des techniques, sera capable de choisir et d'utiliser les outils du calcul différentiel et intégral dans des contextes divers. L'apprentissage actif, de type exploratoire et heuristique, est favorisé par l'utilisation fréquente et à bon escient des calculatrices graphiques et/ou logiciels de calcul symbolique. Lors de chaque résolution de problèmes, l'accent est mis sur la méthode suivie ou l'activité de recherche mobilisée. Nouvelle édition revue et enrichie de nombreux exercices supplémentaires, les deux volumes de cet ouvrage s'adressent aux étudiants de premier cycle universitaire qui, quelle que soit leur orientation, y trouveront des applications, tant sont divers et nombreux les domaines abordés dans les exercices. Le premier volume s'adresse également aux étudiants des années terminales de l'enseignement secondaire.","2024-01-20"
"11929297","9782804150310","Nicolas","Académique",0,,,1064,1,,,,,0,,1,"","","Analyse, concepts et contextes : Volume 2, Fonctions de plusieurs variables","Volume 2. Fonctions de plusieurs variables","fr","","James Stewart","","","","","","De Boeck Supérieur",1064,"2006-06-12","paperback",,,,,,,,,,,,,,,,"La compréhension des concepts, tel est l'objectif de ce manuel. En conséquence, chaque concept est patiemment introduit et formulé verbalement, visuellement, numériquement et algébriquement avant que n'apparaisse sa définition formelle. Des exemples bien choisis préparent souvent l'énoncé des théorèmes pour justifier la pertinence de leurs hypothèses. L'apprentissage au raisonnement est soutenu par les démonstrations (parfois reportées en annexe pour ne pas perdre le fil du discours). L'apprenant, devenu maître des concepts autant que des techniques, sera capable de choisir et d'utiliser les outils du calcul différentiel et intégral dans des contextes divers. L'apprentissage actif, de type exploratoire et heuristique, est favorisé par l'utilisation fréquente et à bon escient des calculatrices graphiques et/ou logiciels de calcul symbolique. Lors de chaque résolution de problèmes, l'accent est mis sur la méthode suivie ou l'activité de recherche mobilisée. Nouvelle édition revue et enrichie de nombreux exercices supplémentaires, les deux volumes de cet ouvrage s'adressent aux étudiants de premier cycle universitaire qui, quelle que soit leur orientation, y trouveront des applications, tant sont divers et nombreux les domaines abordés dans les exercices. Le premier volume s'adresse également aux étudiants des années terminales de l'enseignement secondaire. Dans le tome 2, seront traités les sujets suivants : Les vecteurs et la géométrie de l'espace Les fonctions vectorielles...","2024-01-20"
"954","9780141036137","Nicolas","Politique,Littérature étrangère,Fiction",0,,,112,1,,,,,0,,1,"","","Animal Farm",,"en","Fiction,Dystopian,Political","George Orwell","","","","","","Penguin UK",112,"2008-07-29","paperback",,,,,,,,,,,,,,,,"Renowned urban artist Shepard Fairey's new look for Orwell's timeless satire'All animals are equal. But some animals are more equal than others.'

Mr Jones of Manor Farm is so lazy and drunken that one day he forgets to feed his livestock. The ensuing rebellion under the leadership of the pigs Napoleon and Snowball leads to the animals taking over the farm. Vowing to eliminate the terrible inequities of the farmyard, the renamed Animal Farm is organised to benefit all who walk on four legs. But as time passes, the ideals of the rebellion are corrupted, then forgotten. And something new and unexpected emerges. . . 

Animal Farm - the history of a revolution that went wrong - is George Orwell's brilliant satire on the corrupting influence of power.","2024-01-20"
"11929128",,"Nicolas","Politique,Littérature étrangère,Fiction",0,,,0,1,,,,,0,,1,"","","Anthem",,"Anglais ","","Ayn Rand","","","","","","Signet",,,,,,,,,,,,,,,,,,,,"2024-01-20"
"523","9781841933580","Nicolas","Politique,Littérature étrangère,Philosophie",0,,,126,1,,,,,0,,1,"","","The Art Of War",,"en","Military History,Oriental & Indian Philosophy,Theory Of Warfare & Military Science","Tzu Sun","","","","","","Arcturus",126,"2008-09-09","hardcover",,,,,,,,,,,,,,,,"Offering ancient wisdom on how to use skill, cunning, tactics and discipline to outwit your opponent, this 2000 year old military manual is still worshipped by soldiers on the battlefield and managers in the boardroom as the ultimate guide to winning.","2024-01-20"
"19015871","9782017253709","Nicolas","Bande dessinée",0,,,0,0,,,,,0,,1,"","","Astérix - Astérix en Lusitanie - n°41",,"fr","Comics & Graphic Novels,Manga,Graphic Novels","René Goscinny,Didier Conrad","","","","","","HACHETTE",48,"2025-10-23","hardcover",,"Astérix",41,,,,,,,,,,,,,,"2025-10-27"
